장소명,GPS좌표,데이터개수,대표파일명
경남임곡리,"35.102,128.434",2414,A02_H18_C006_D_210909_0001_21S_000001.960.jpg
경남화전동,"35.103,128.860",2245,A02_H17_C006_D_210909_0001_10S_000000.045.jpg
낙동면,"36.332,128.209",782,A02_H19_C051_D_210910_0002_48S_000007.319.jpg
대산농원,"36.388,128.967",1307,A02_F02_C081_C_211026_6001_20S_000001.682.jpg
대천동,"33.270,126.488",266,A02_H38_C009_C_210923_0003_20S_000001.305.jpg
도개면,"36.348,128.293",341,A02_H30_C002_C_210912_0002_20S_000000.040.jpg
무등산국립공원,"35.154,126.950",26,A02_G16_G001_G_210201_6003_20S_000002.181.jpg
변산반도국립공원,"35.633,126.552",111,A02_G12_G001_G_200418_6026_10S_000000.238.jpg
소백산국립공원,"36.953,128.446",62,A02_G07_G001_G_200404_6075_10S_000000.037.jpg
신월동,"37.175,128.187",240,A02_H29_C004_C_210924_0001_30S_000017.407.jpg
주천면,"35.097,128.448",30,A02_H43_C007_C_211002_0002_20S_000000.814.jpg
지리산국립공원,"35.313,127.612",299,A02_G01_G001_G_170101_6290_19S_000006.588.jpg
진북면,"35.129,128.476",795,A02_H28_C004_C_210930_0001_30S_000000.039.jpg
진전면,"35.097,128.448",21466,A02_H20_C012_C_210910_0001_20S_000003.042.jpg
청평리,"37.739,127.412",223,A02_H13_A001_G_210831_0002_19S_000001.339.jpg
한려해상국립공원,"34.759,127.976",8,A02_G18_G001_G_210317_6433_20S_000005.000.jpg
호림동,"35.834,128.476",85,A02_H37_C003_C_210923_0001_20S_000003.658.jpg
