장소명,GPS좌표,데이터개수,대표파일명
경남임곡리,"35.102,128.434",319,A02_H18_C006_D_210909_0001_21S_000019.392.jpg
경남화전동,"35.103,128.860",277,A02_H17_C006_D_210909_0003_41S_000002.651.jpg
낙동면,"36.332,128.209",116,A02_H19_C051_D_210910_0002_48S_000002.402.jpg
대산농원,"36.388,128.967",172,A02_F02_C081_C_211026_6004_20S_000013.311.jpg
대천동,"33.270,126.488",37,A02_H38_C009_C_210923_0003_20S_000018.506.jpg
도개면,"36.348,128.293",35,A02_H30_C002_C_210912_0002_20S_000000.781.jpg
무등산국립공원,"35.154,126.950",2,A02_G16_G001_G_210330_6012_10S_000004.343.jpg
변산반도국립공원,"35.633,126.552",12,A02_G12_G001_G_200531_6027_15S_000005.106.jpg
소백산국립공원,"36.953,128.446",5,A02_G07_G001_G_200613_6079_10S_000003.060.jpg
신월동,"37.175,128.187",31,A02_H29_C004_C_210924_0001_30S_000027.309.jpg
주천면,"35.097,128.448",5,A02_H43_C007_C_211002_0002_20S_000011.076.jpg
지리산국립공원,"35.313,127.612",36,A02_G01_G001_G_170101_6290_19S_000012.128.jpg
진북면,"35.129,128.476",97,A02_H28_C004_C_210930_0001_30S_000017.019.jpg
진전면,"35.097,128.448",2623,A02_H20_C012_C_210910_0001_20S_000011.314.jpg
청평리,"37.739,127.412",23,A02_H13_A001_G_210831_0002_19S_000002.875.jpg
호림동,"35.834,128.476",15,A02_H37_C003_C_210923_0003_10S_000001.376.jpg
