epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7209.7,0.78151,0.87731,0.98377,0.97569,0.97489,0.99131,0.86199,0.55039,0.46256,0.86135,0.00333246,0.00333246,0.00333246
2,14205.9,0.77388,0.55979,0.99406,0.98054,0.97171,0.99248,0.86349,0.55449,0.36524,0.87626,0.00653382,0.00653382,0.00653382
3,20769.6,0.80786,0.54496,1.01679,0.96926,0.97576,0.99152,0.85877,0.56868,0.36468,0.88749,0.00960317,0.00960317,0.00960317
4,27141.9,0.80281,0.51863,1.01798,0.97872,0.97371,0.99313,0.87752,0.52264,0.31276,0.86771,0.009406,0.009406,0.009406
5,33528.1,0.75214,0.47041,0.99879,0.97663,0.98721,0.99395,0.89564,0.49644,0.28002,0.86192,0.009208,0.009208,0.009208
6,39895.9,0.72146,0.44468,0.986,0.98029,0.97637,0.99357,0.89936,0.47447,0.264,0.85025,0.00901,0.00901,0.00901
7,46269.3,0.69751,0.42466,0.97827,0.98269,0.98702,0.99399,0.90086,0.46661,0.25312,0.84954,0.008812,0.008812,0.008812
8,52823.6,0.67952,0.4078,0.96947,0.98241,0.98507,0.99412,0.91293,0.43798,0.23597,0.83591,0.008614,0.008614,0.008614
9,59319.2,0.66199,0.39459,0.96303,0.98375,0.98739,0.99423,0.91935,0.43124,0.23,0.83291,0.008416,0.008416,0.008416
10,65771.3,0.65191,0.38792,0.95971,0.98694,0.98702,0.99421,0.92488,0.41936,0.22194,0.83206,0.008218,0.008218,0.008218
11,72714.6,0.63948,0.37897,0.95541,0.98832,0.98592,0.99431,0.92611,0.413,0.21768,0.82954,0.00802,0.00802,0.00802
12,79852.5,0.63087,0.37279,0.95012,0.98442,0.98807,0.99426,0.92803,0.4076,0.21037,0.82661,0.007822,0.007822,0.007822
13,86534.8,0.62307,0.36561,0.94727,0.98326,0.98968,0.99435,0.93211,0.39983,0.20681,0.8223,0.007624,0.007624,0.007624
14,93154.3,0.61461,0.35943,0.94527,0.9852,0.99068,0.9944,0.93057,0.39371,0.2017,0.82273,0.007426,0.007426,0.007426
15,100033,0.60595,0.35394,0.94138,0.98349,0.99268,0.99443,0.93381,0.38753,0.19724,0.82059,0.007228,0.007228,0.007228
16,106379,0.60371,0.35257,0.93932,0.98869,0.98933,0.99436,0.93768,0.38191,0.19504,0.81767,0.00703,0.00703,0.00703
17,112744,0.5952,0.34569,0.93476,0.98768,0.98968,0.99449,0.9393,0.37476,0.19045,0.81417,0.006832,0.006832,0.006832
18,119100,0.59015,0.3397,0.93468,0.98869,0.98945,0.99445,0.9406,0.37401,0.18847,0.81439,0.006634,0.006634,0.006634
19,125446,0.58423,0.33654,0.93219,0.98189,0.99258,0.99433,0.94248,0.36885,0.18486,0.81223,0.006436,0.006436,0.006436
20,131765,0.57965,0.33579,0.93102,0.98513,0.99208,0.99439,0.943,0.36724,0.18231,0.81239,0.006238,0.006238,0.006238
21,138234,0.57292,0.33019,0.92958,0.98644,0.99276,0.99439,0.94421,0.36375,0.18059,0.81157,0.00604,0.00604,0.00604
22,144571,0.56889,0.32847,0.92608,0.98645,0.99363,0.99448,0.94675,0.36253,0.1793,0.80992,0.005842,0.005842,0.005842
23,150906,0.56608,0.32405,0.92574,0.98741,0.99167,0.99452,0.94717,0.36051,0.17693,0.80921,0.005644,0.005644,0.005644
24,157495,0.56154,0.31997,0.92249,0.9897,0.99146,0.99455,0.94813,0.3588,0.17386,0.80814,0.005446,0.005446,0.005446
25,164361,0.5571,0.31671,0.92352,0.98923,0.99301,0.99453,0.94854,0.35617,0.17225,0.80798,0.005248,0.005248,0.005248
26,170910,0.55248,0.31383,0.91914,0.98905,0.99068,0.99453,0.94919,0.35426,0.17078,0.80657,0.00505,0.00505,0.00505
27,177614,0.54866,0.3098,0.91863,0.98815,0.99201,0.99451,0.95034,0.35252,0.16976,0.8058,0.004852,0.004852,0.004852
28,184579,0.54456,0.30893,0.91756,0.98802,0.99268,0.99449,0.95078,0.35111,0.16906,0.80527,0.004654,0.004654,0.004654
29,191435,0.54126,0.30667,0.91725,0.98831,0.99268,0.9945,0.95076,0.34994,0.16834,0.80515,0.004456,0.004456,0.004456
30,197862,0.53658,0.30137,0.9147,0.98832,0.99168,0.99453,0.95133,0.34927,0.16819,0.80501,0.004258,0.004258,0.004258
31,204319,0.53135,0.29858,0.91272,0.98795,0.99201,0.99453,0.95166,0.34835,0.16722,0.80458,0.00406,0.00406,0.00406
32,210758,0.52619,0.29663,0.91167,0.98759,0.99334,0.99453,0.95181,0.34753,0.16676,0.80436,0.003862,0.003862,0.003862
33,217225,0.52401,0.29252,0.90972,0.98743,0.9936,0.99452,0.95153,0.34678,0.16608,0.80413,0.003664,0.003664,0.003664
34,223834,0.52198,0.28992,0.90979,0.98829,0.99368,0.99453,0.95159,0.34645,0.16555,0.80389,0.003466,0.003466,0.003466
35,230280,0.51301,0.28542,0.90606,0.98833,0.99334,0.99453,0.95206,0.34602,0.16533,0.8037,0.003268,0.003268,0.003268
36,236699,0.51024,0.28378,0.90446,0.98862,0.99334,0.99453,0.9523,0.34558,0.16487,0.80354,0.00307,0.00307,0.00307
37,243397,0.50886,0.28103,0.90474,0.98827,0.99334,0.99452,0.95229,0.34512,0.16444,0.80332,0.002872,0.002872,0.002872
